                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2214,                 1.8191,                 1.2794,                0.63366,                0.48802,                0.54958,                0.40254,                 1.1602,                 1.3645,                 1.1741,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.3068,                  1.745,                 1.3356,                0.60335,                0.51231,                0.56065,                0.40594,                 1.1477,                 1.3012,                 1.1636,             1.6966e-05,             1.6966e-05,             1.6966e-05
                      3,                  1.272,                  1.646,                 1.2845,                  0.632,                0.51434,                0.57213,                0.40843,                 1.1433,                 1.2826,                 1.1576,              2.466e-05,              2.466e-05,              2.466e-05
                      4,                 1.2373,                 1.5665,                 1.2914,                0.61528,                0.52835,                0.57789,                0.41346,                 1.1391,                 1.2644,                 1.1529,             3.1412e-05,             3.1412e-05,             3.1412e-05
                      5,                 1.2649,                 1.5932,                 1.2698,                0.58265,                0.55925,                0.58809,                 0.4165,                 1.1396,                 1.2459,                 1.1496,             3.7221e-05,             3.7221e-05,             3.7221e-05
                      6,                 1.2248,                 1.4421,                 1.2578,                0.58913,                0.57448,                 0.6005,                 0.4236,                 1.1294,                 1.2353,                 1.1429,             4.2087e-05,             4.2087e-05,             4.2087e-05
                      7,                 1.1941,                  1.398,                 1.2368,                 0.6146,                0.58138,                 0.6114,                0.43543,                 1.1223,                 1.2235,                 1.1377,             4.6011e-05,             4.6011e-05,             4.6011e-05
                      8,                 1.1706,                 1.3569,                 1.2178,                0.67479,                0.56471,                0.62113,                0.45092,                 1.1044,                  1.184,                 1.1287,             4.8993e-05,             4.8993e-05,             4.8993e-05
                      9,                 1.1836,                  1.325,                  1.218,                0.71397,                0.54873,                0.63841,                0.46732,                 1.0918,                 1.1404,                 1.1239,             5.1032e-05,             5.1032e-05,             5.1032e-05
                     10,                  1.162,                 1.3724,                 1.2361,                0.68899,                 0.5801,                0.64733,                0.47598,                 1.0875,                 1.1101,                  1.121,             5.2129e-05,             5.2129e-05,             5.2129e-05
                     11,                 1.1745,                 1.4587,                 1.2107,                0.76452,                0.57626,                0.65976,                0.48839,                 1.0828,                 1.0728,                 1.1136,             5.2283e-05,             5.2283e-05,             5.2283e-05
                     12,                 1.2013,                 1.4372,                 1.2266,                0.76662,                0.58327,                0.67506,                0.50533,                 1.0734,                 1.0484,                 1.1088,             5.1494e-05,             5.1494e-05,             5.1494e-05
                     13,                 1.2297,                 1.4195,                 1.2588,                0.77611,                0.57113,                0.67677,                0.50802,                 1.0666,                 1.0417,                 1.1066,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     14,                 1.1365,                 1.2607,                 1.1827,                0.72601,                0.59494,                 0.6777,                0.50975,                 1.0573,                 1.0393,                 1.1044,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     15,                 1.1402,                 1.2404,                 1.1958,                0.74992,                0.60201,                0.68083,                0.51233,                 1.0496,                 1.0286,                 1.1023,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     16,                 1.1693,                 1.2589,                 1.2049,                0.79365,                0.60392,                0.68668,                0.52637,                 1.0435,                  1.015,                 1.0999,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     17,                 1.1192,                 1.2076,                   1.18,                0.77442,                 0.6161,                0.68983,                0.53371,                 1.0327,                0.99568,                 1.0941,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     18,                 1.1362,                 1.1767,                 1.1763,                0.77884,                0.61843,                0.69733,                0.54095,                 1.0262,                0.97943,                 1.0877,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     19,                 1.1093,                 1.1654,                  1.159,                0.74396,                0.63694,                0.70162,                0.54511,                 1.0246,                0.97059,                 1.0859,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     20,                 1.0998,                 1.1049,                 1.1636,                0.72011,                0.64437,                0.70375,                0.54388,                 1.0232,                0.96542,                 1.0855,             1.2971e-05,             1.2971e-05,             1.2971e-05
