                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3708,                 5.7334,                 4.2547,                      0,                      0,                      0,                      0,                 3.4629,                 5.7467,                 4.1599,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 3.5545,                 5.7126,                 4.2618,                      0,                      0,                      0,                      0,                 3.4623,                 5.7463,                 4.1608,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 3.6507,                 5.6914,                 4.2724,                      0,                      0,                      0,                      0,                  3.462,                 5.7462,                 4.1615,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                  3.527,                 5.7056,                 4.2552,                      0,                      0,                      0,                      0,                 3.4617,                 5.7463,                 4.1621,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 3.7734,                 5.7454,                 4.2316,                      0,                      0,                      0,                      0,                 3.4614,                 5.7464,                 4.1623,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 3.6003,                 5.6851,                 4.2368,                      0,                      0,                      0,                      0,                 3.4609,                 5.7472,                 4.1622,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 3.5457,                 5.6748,                 4.2354,                      0,                      0,                      0,                      0,                 3.4605,                 5.7477,                 4.1618,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 3.5859,                 5.6947,                 4.2182,                      0,                      0,                      0,                      0,                 3.4606,                 5.7494,                  4.161,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 3.6037,                 5.6746,                 4.2146,                      0,                      0,                      0,                      0,                 3.4606,                 5.7523,                 4.1597,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 3.6137,                 5.6226,                 4.1963,                      0,                      0,                      0,                      0,                 3.4612,                 5.7541,                 4.1582,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 3.6169,                  5.636,                  4.196,                      0,                      0,                      0,                      0,                 3.4617,                  5.757,                 4.1549,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 3.6085,                 5.6107,                 4.1922,                      0,                      0,                      0,                      0,                 3.4622,                 5.7597,                 4.1524,             0.00010074,             0.00010074,             0.00010074
                     13,                 3.5628,                 5.6451,                 4.1844,                      0,                      0,                      0,                      0,                  3.463,                 5.7622,                 4.1495,             0.00010486,             0.00010486,             0.00010486
                     14,                 3.4844,                 5.6535,                 4.1765,                      0,                      0,                      0,                      0,                 3.4632,                 5.7652,                 4.1465,             0.00010486,             0.00010486,             0.00010486
                     15,                 3.6541,                  5.585,                 4.1737,                      0,                      0,                      0,                      0,                 3.4629,                  5.768,                 4.1433,             0.00010368,             0.00010368,             0.00010368
                     16,                 3.6064,                 5.6362,                 4.1661,                      0,                      0,                      0,                      0,                 3.4624,                 5.7709,                 4.1398,             0.00010251,             0.00010251,             0.00010251
                     17,                 3.5577,                 5.5543,                 4.1636,                      0,                      0,                      0,                      0,                 3.4618,                  5.769,                  4.137,             0.00010133,             0.00010133,             0.00010133
